Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Ministral 3 8B,8B,False,0.1,100.0,26.7501,4.5808,"[20.4634, 32.6007]",5.3108,True,True,26.8348,32.4378,32.4549
Phi-4 14B,14B,False,0.15,100.0,58.0884,6.4716,"[42.8447, 63.3170]",2.3354,True,True,57.1998,62.785,62.9943
Mistral Nemo 12B,12B,False,0.1,83.33,37.0708,7.1181,"[25.8014, 45.5355]",3.6612,True,True,39.9471,45.4747,45.4918
Mistral 7B,7B,False,0.15,72.67,5.2186,2.2015,"[3.7536, 10.5152]",66.3776,True,True,4.3414,6.8225,8.8221
Gemma 4 E2B,2B,False,0.05,100.0,11.4865,2.7571,"[7.9711, 12.7410]",17.5023,True,True,11.0881,12.6532,12.7163
Gemma 4 E2B,2B,True,0.05,100.0,61.7469,10.3556,"[44.0175, 85.2680]",17.9868,True,True,59.7117,75.785,78.9719
Gemma 4 E4B,4B,False,0.05,100.0,12.7591,3.8364,"[9.9890, 15.1689]",12.5885,True,True,12.4055,15.1431,15.1545
Gemma 4 E4B,4B,True,0.05,96.0,86.994,37.2671,"[37.8938, 182.5892]",12.5301,True,True,82.3398,135.0051,161.7404
Gemma 4 26B,26B,False,0.05,100.0,172.1699,975.6902,"[49.1305, 488.4638]",3.1144,True,True,58.2757,107.2922,398.6064
Llama 3.1 8B,8B,False,0.1,100.0,19.4089,11.2424,"[6.8633, 34.2739]",17.9681,True,True,18.365,32.0501,33.2114
