Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q03,Give me the films featuring more than three actors born after 1980,Ministral 3 8B,8B,False,0.1,100.0,27.8398,0.041,"[27.7925, 27.9277]",5.3561,True,True,27.8298,27.8856,27.8966
Q03,Give me the films featuring more than three actors born after 1980,Phi-4 14B,14B,False,0.15,100.0,62.7959,0.5111,"[62.2933, 63.7881]",2.3278,True,True,62.7385,63.0725,63.2551
Q03,Give me the films featuring more than three actors born after 1980,Mistral Nemo 12B,12B,False,0.1,100.0,40.5226,0.1213,"[40.4711, 40.8097]",3.6714,True,True,40.4933,40.5273,40.6246
Q03,Give me the films featuring more than three actors born after 1980,Mistral 7B,7B,False,0.15,0.0,6.3647,0.3313,"[6.1701, 7.1132]",66.0177,True,True,6.3075,6.3287,6.5762
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 E2B,2B,False,0.05,100.0,10.5494,0.1293,"[10.4606, 10.7983]",17.4024,True,True,10.5122,10.6166,10.6391
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 E2B,2B,True,0.05,100.0,69.4136,7.329,"[66.7229, 72.1043]",18.0367,True,True,70.7335,76.3016,78.8641
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 E4B,4B,False,0.05,100.0,10.095,0.2456,"[9.9723, 10.5167]",12.5492,True,True,10.0386,10.1633,10.1891
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 E4B,4B,True,0.05,100.0,80.0191,13.9973,"[74.8803, 85.1579]",12.5305,True,True,79.1625,96.7339,100.1396
Q03,Give me the films featuring more than three actors born after 1980,Gemma 4 26B,26B,False,0.05,100.0,56.3083,0.1219,"[56.1470, 56.5146]",3.3282,True,True,56.2929,56.3877,56.4077
Q03,Give me the films featuring more than three actors born after 1980,Llama 3.1 8B,8B,False,0.1,100.0,14.2272,9.2984,"[10.1579, 37.2891]",17.9521,True,True,10.1997,34.2686,34.3319
