Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
DeepSeek R1 8B,8B,False,0.1,100.0,3.0239,0.6023,"[2.1812, 4.0992]",47.1041,True,True,3.3129,3.3882,3.6421
DeepSeek R1 8B,8B,True,0.1,30.67,601.4756,422.7694,"[0.0000, 943.0555]",44.7074,True,True,942.3713,942.7759,942.9201
Ministral 3 8B,8B,False,0.15,100.0,24.0057,3.0624,"[18.8452, 27.8160]",5.8146,True,True,24.3811,27.7836,27.8036
Phi-4 14B,14B,False,0.15,100.0,58.1305,5.4768,"[41.7040, 62.7267]",2.3857,True,True,61.1862,62.4209,62.6054
Mistral Nemo 12B,12B,False,0.15,100.0,37.357,5.7286,"[25.8948, 42.9892]",3.6068,True,True,40.1669,42.0009,42.8261
Mistral 7B,7B,False,0.15,68.67,4.4952,1.7428,"[3.0387, 8.4979]",91.3935,True,True,4.6116,5.5258,8.1417
Gemma 4 E2B,2B,False,0.1,100.0,11.4668,1.2677,"[8.2732, 12.8885]",17.4785,True,True,11.1323,12.738,12.8054
Gemma 4 E2B,2B,True,0.1,100.0,63.6645,10.6938,"[61.9589, 65.3701]",17.9415,True,True,63.7019,76.1065,81.2396
Gemma 4 E4B,4B,False,0.1,100.0,13.1369,3.2111,"[9.9356, 19.2633]",12.6174,True,True,12.4047,19.1009,19.226
Gemma 4 E4B,4B,True,0.1,98.67,78.7077,31.7391,"[33.7358, 153.6147]",12.573,True,True,78.0444,112.99,125.5346
Gemma 4 26B,26B,False,0.1,100.0,61.3015,17.6644,"[52.1412, 86.4855]",3.3475,True,True,58.1452,64.0949,64.1224
Qwen 3.5 9B,9B,False,0.1,100.0,38.844,5.8011,"[29.5706, 50.0018]",4.8408,True,True,38.8152,49.7394,49.9205
Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,72.6569,12.8135,"[52.2698, 92.8707]",3.0462,True,True,72.8933,92.4295,92.6719
Llama 3.1 8B,8B,False,0.1,100.0,9.8457,3.8515,"[6.7250, 18.0672]",18.1653,True,True,8.2521,17.9865,18.037
