Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q02,Give me the films whose actors won an Oscar,DeepSeek R1 8B,8B,False,0.1,100.0,2.284,0.3048,"[2.1793, 3.1828]",47.2663,True,True,2.1846,2.2873,3.1775
Q02,Give me the films whose actors won an Oscar,DeepSeek R1 8B,8B,True,0.1,6.67,759.6194,347.1435,"[0.0000, 943.1582]",44.6878,True,True,942.641,942.991,943.1033
Q02,Give me the films whose actors won an Oscar,Ministral 3 8B,8B,False,0.15,100.0,18.8494,0.0908,"[18.7051, 18.9101]",5.8902,True,True,18.8586,18.8869,18.8984
Q02,Give me the films whose actors won an Oscar,Phi-4 14B,14B,False,0.15,100.0,52.5236,7.5055,"[41.4275, 61.4771]",2.4034,True,True,49.6187,61.3382,61.3875
Q02,Give me the films whose actors won an Oscar,Mistral Nemo 12B,12B,False,0.15,100.0,27.3792,3.247,"[25.8906, 35.1179]",3.6106,True,True,25.9463,34.633,34.6645
Q02,Give me the films whose actors won an Oscar,Mistral 7B,7B,False,0.15,53.33,6.0295,2.619,"[2.6855, 11.4652]",90.0762,True,True,5.513,8.4958,9.5347
Q02,Give me the films whose actors won an Oscar,Gemma 4 E2B,2B,False,0.1,100.0,10.0002,0.9135,"[7.8889, 10.4945]",17.5744,True,True,10.3767,10.4786,10.4854
Q02,Give me the films whose actors won an Oscar,Gemma 4 E2B,2B,True,0.1,100.0,58.5635,6.1334,"[56.3118, 60.8152]",17.9943,True,True,57.5235,65.9248,68.7346
Q02,Give me the films whose actors won an Oscar,Gemma 4 E4B,4B,False,0.1,100.0,10.1685,0.131,"[10.0865, 10.4075]",12.6426,True,True,10.1452,10.2071,10.2347
Q02,Give me the films whose actors won an Oscar,Gemma 4 E4B,4B,True,0.1,100.0,95.2318,27.9171,"[84.9826, 105.4810]",12.5681,True,True,88.0532,122.723,139.8372
Q02,Give me the films whose actors won an Oscar,Gemma 4 26B,26B,False,0.1,100.0,64.0759,0.0678,"[63.9931, 64.1995]",3.3972,True,True,64.0675,64.1282,64.1421
Q02,Give me the films whose actors won an Oscar,Qwen 3.5 9B,9B,False,0.1,100.0,39.6276,8.7061,"[29.3402, 50.6238]",4.8365,True,True,38.4448,49.9926,50.1585
Q02,Give me the films whose actors won an Oscar,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,52.9763,1.0721,"[52.1787, 55.3975]",3.0685,True,True,52.5115,55.194,55.344
Q02,Give me the films whose actors won an Oscar,Llama 3.1 8B,8B,False,0.1,100.0,6.7604,0.035,"[6.7476, 6.7733]",18.2033,True,True,6.7596,6.8072,6.8093
