Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q04,Give me the films whose directors have the same surname as one of the actors,DeepSeek R1 8B,8B,False,0.1,100.0,3.4406,0.5421,"[3.2385, 5.0114]",46.918,True,True,3.3166,3.3207,4.0458
Q04,Give me the films whose directors have the same surname as one of the actors,DeepSeek R1 8B,8B,True,0.1,20.0,666.9619,395.7907,"[0.0000, 942.8112]",44.6991,True,True,942.4255,942.716,942.7561
Q04,Give me the films whose directors have the same surname as one of the actors,Ministral 3 8B,8B,False,0.15,100.0,27.8371,0.4149,"[27.5821, 28.4107]",5.7323,True,True,27.785,27.82,27.829
Q04,Give me the films whose directors have the same surname as one of the actors,Phi-4 14B,14B,False,0.15,100.0,62.4545,0.2496,"[62.3628, 62.5461]",2.387,True,True,62.455,62.7505,62.8645
Q04,Give me the films whose directors have the same surname as one of the actors,Mistral Nemo 12B,12B,False,0.15,100.0,42.3183,0.753,"[40.9883, 43.5165]",3.5961,True,True,42.0134,43.3277,43.461
Q04,Give me the films whose directors have the same surname as one of the actors,Mistral 7B,7B,False,0.15,90.0,5.0243,1.3789,"[4.1632, 8.6865]",90.8691,True,True,4.6148,5.4258,7.8573
Q04,Give me the films whose directors have the same surname as one of the actors,Gemma 4 E2B,2B,False,0.1,100.0,11.7204,1.3638,"[10.9524, 15.5893]",17.6608,True,True,11.1323,12.3972,15.5514
Q04,Give me the films whose directors have the same surname as one of the actors,Gemma 4 E2B,2B,True,0.1,100.0,72.2754,8.6161,"[61.4809, 89.7301]",17.9888,True,True,72.0333,83.459,85.1202
Q04,Give me the films whose directors have the same surname as one of the actors,Gemma 4 E4B,4B,False,0.1,100.0,18.5289,0.9411,"[16.1862, 19.3008]",12.6037,True,True,19.1267,19.2648,19.279
Q04,Give me the films whose directors have the same surname as one of the actors,Gemma 4 E4B,4B,True,0.1,96.67,92.4026,37.4865,"[46.9561, 193.4458]",12.5772,True,True,84.2188,114.4405,157.0249
Q04,Give me the films whose directors have the same surname as one of the actors,Gemma 4 26B,26B,False,0.1,100.0,60.8451,0.1276,"[60.6589, 61.0244]",3.3122,True,True,60.8455,60.921,60.9411
Q04,Give me the films whose directors have the same surname as one of the actors,Qwen 3.5 9B,9B,False,0.1,100.0,42.8596,7.2598,"[35.1042, 49.9778]",4.8278,True,True,48.8176,49.9039,49.9338
Q04,Give me the films whose directors have the same surname as one of the actors,Qwen 3.6 35B-A3B,35B-A3B,False,0.1,100.0,90.65,5.6541,"[81.0945, 102.2882]",3.0367,True,True,92.4307,93.1646,98.2521
Q04,Give me the films whose directors have the same surname as one of the actors,Llama 3.1 8B,8B,False,0.1,100.0,8.105,0.2905,"[7.6420, 8.3778]",18.1576,True,True,8.2521,8.3296,8.3682
